,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
2,"En el [[2000]], Madonna lanzó la película sería la sucesora a ""Evita"" en su carrera cinematográfica.",En el Madonna lanzó la película sería la sucesora a Evita en su carrera cinematográfica,15,29,48.3,1,29-1
4,"Caracas como el capital de [[Venezuela]], tene numerosas compañias de servicios, bancos, entre otros.",Caracas como el capital de Venezuela tene numerosas compañias de servicios bancos entre otros,14,29,48.3,1,29-1
0,[[El Capitolio]] Federal ocupa un bloque entero del ciudad y tene un domo dorao.,El_Capitolio Federal ocupa un bloque entero del ciudad y tene un domo dorao,13,29,48.3,1,29-1
1,"[[GMA Network]] used audio-video coverage through the facilities of [[Reuters]], which [[GMA Network]] subscribed to.",GMA_Network used audiovideo coverage through the facilities of Reuters which GMA_Network subscribed to,13,29,48.3,0,29-0
3,"Bruselas (""Bruxelles"", ""Brussel"", ""Brüssel"") es el ciudad capital del [[Bélgica]], con un maga populacion de 1.125.728 gente (est.2010).",Bruselas es el ciudad capital del Bélgica con un maga populacion de gente,13,29,48.3,1,29-1
1,"Atimonan es limitado por los municipios de [[Gumaca]], [[Plaridel]], [[Pagbilao]] y Padre Burgos.",Atimonan es limitado por los municipios de Gumaca Plaridel Pagbilao y Padre Burgos,13,21,47.0,1,21-1
0,[[Mi]] tiyo Ding y con mis abuelos y abuelas en el carillos o en la mano.,Mi tiyo Ding y con mis abuelos y abuelas en el carillos o en la mano,16,25,47.0,0,25-0
1,El Ciudad de Arica es un ciudad del [[Chile]] con un populacion de 185.268 gente ([[2002]]).,El Ciudad de Arica es un ciudad del Chile con un populacion de gente,14,25,47.0,1,25-1
0,Tenía las relaciones comerciales con [[China]] y los otros países de Asia Sur-Oriental.,Tenía las relaciones comerciales con China y los otros países de Asia SurOriental,13,21,47.0,0,21-0
1,"Comporme del [[2011]] census este tiene un populacion na mas o menos 11,895,893 de maga personas.",Comporme del census este tiene un populacion na mas o menos de maga personas,14,1,46.13333333333333,0,1-0
