,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
0,"Alvordton se yon vil nan eta Ohio , nan [[Etazini]].",Alvordton se yon vil nan eta Ohio nan Etazini,9,33,81.33333333333333,0,33-0
3,"Hitterdal se yon vil nan eta Minnesota, nan [[Etazini]].",Hitterdal se yon vil nan eta Minnesota nan Etazini,9,33,81.33333333333333,1,33-1
2,"Wedderburn se yon vil nan eta [[Oregon]], nan [[Etazini]].",Wedderburn se yon vil nan eta Oregon nan Etazini,9,33,81.33333333333333,0,33-0
1,"Montana se yon vil nan eta Wisconsin, nan [[Etazini]].",Montana se yon vil nan eta Wisconsin nan Etazini,9,33,81.33333333333333,0,33-0
0,"Randolph se yon vil nan eta Vermont, nan [[Etazini]].",Randolph se yon vil nan eta Vermont nan Etazini,9,32,78.78571428571429,1,32-1
7,"Davenport se yon vil nan eta Oklahoma, nan [[Etazini]].",Davenport se yon vil nan eta Oklahoma nan Etazini,9,32,78.78571428571429,1,32-1
6,"Leroy se yon vil nan eta Texas, nan [[Etazini]].",Leroy se yon vil nan eta Texas nan Etazini,9,32,78.78571428571429,0,32-0
4,"Owatonna se yon vil nan eta Minnesota, nan [[Etazini]].",Owatonna se yon vil nan eta Minnesota nan Etazini,9,32,78.78571428571429,1,32-1
3,"Wells se yon vil nan eta Texas, nan [[Etazini]].",Wells se yon vil nan eta Texas nan Etazini,9,32,78.78571428571429,0,32-0
2,"Roslyn se yon vil nan eta [[Washington]], nan [[Etazini]].",Roslyn se yon vil nan eta Washington nan Etazini,9,32,78.78571428571429,1,32-1
1,"Clarksville se yon vil nan eta Texas, nan [[Etazini]].",Clarksville se yon vil nan eta Texas nan Etazini,9,32,78.78571428571429,0,32-0
5,"Dufur se yon vil nan eta [[Oregon]], nan [[Etazini]].",Dufur se yon vil nan eta Oregon nan Etazini,9,32,78.78571428571429,1,32-1
9,Guadalupe se yon telenovela amerikèn difize an 1993-1994 sou [[Telemundo]].,Guadalupe se yon telenovela amerikèn difize an sou Telemundo,9,3,76.15555555555555,4,3-4
5,"Bluffton se yon vil nan eta Ohio , nan [[Etazini]].",Bluffton se yon vil nan eta Ohio nan Etazini,9,3,76.15555555555555,3,3-3
4,"Tioga se yon vil nan eta Texas, nan [[Etazini]].",Tioga se yon vil nan eta Texas nan Etazini,9,3,76.15555555555555,2,3-2
3,"Ortonville se yon vil nan eta Minnesota, nan [[Etazini]].",Ortonville se yon vil nan eta Minnesota nan Etazini,9,3,76.15555555555555,0,3-0
6,"Kimbolton se yon vil nan eta Ohio , nan [[Etazini]].",Kimbolton se yon vil nan eta Ohio nan Etazini,9,3,76.15555555555555,3,3-3
1,"Freeborn se yon vil nan eta Minnesota, nan [[Etazini]].",Freeborn se yon vil nan eta Minnesota nan Etazini,9,3,76.15555555555555,0,3-0
0,"Ravenna se yon vil nan eta Texas, nan [[Etazini]].",Ravenna se yon vil nan eta Texas nan Etazini,9,3,76.15555555555555,2,3-2
7,"Yorkville se yon vil nan eta Wisconsin, nan [[Etazini]].",Yorkville se yon vil nan eta Wisconsin nan Etazini,9,3,76.15555555555555,1,3-1
8,"Aldine se yon vil nan eta Texas, nan [[Etazini]].",Aldine se yon vil nan eta Texas nan Etazini,9,3,76.15555555555555,2,3-2
2,"Plover se yon vil nan eta Wisconsin, nan [[Etazini]].",Plover se yon vil nan eta Wisconsin nan Etazini,9,3,76.15555555555555,1,3-1
6,"Tekoa se yon vil nan eta [[Washington]], nan [[Etazini]].",Tekoa se yon vil nan eta Washington nan Etazini,9,12,75.51282051282051,3,12-3
5,"Barrett se yon vil nan eta Texas, nan [[Etazini]].",Barrett se yon vil nan eta Texas nan Etazini,9,12,75.51282051282051,2,12-2
10,"Harrisville se yon vil nan eta Ohio , nan [[Etazini]].",Harrisville se yon vil nan eta Ohio nan Etazini,9,12,75.51282051282051,1,12-1
4,"Morrison se yon vil nan eta Tennessee, nan [[Etazini]].",Morrison se yon vil nan eta Tennessee nan Etazini,9,12,75.51282051282051,2,12-2
3,"Blair se yon vil nan eta Wisconsin, nan [[Etazini]].",Blair se yon vil nan eta Wisconsin nan Etazini,9,12,75.51282051282051,2,12-2
2,"Gibsonburg se yon vil nan eta Ohio , nan [[Etazini]].",Gibsonburg se yon vil nan eta Ohio nan Etazini,9,12,75.51282051282051,1,12-1
8,Atiksa a detay fimografi antyè aktè franse [[Gérard Depardieu]] depi 1965.,Atiksa a detay fimografi antyè aktè franse Gérard_Depardieu depi,9,12,75.51282051282051,4,12-4
1,"Èzili (nan franse ː Erzulie) se non yon femèl [[lwa]] (lespri, divinite) nan [[vodou]] ayisyen.",Èzili se non yon femèl lwa nan vodou ayisyen,9,12,75.51282051282051,0,12-0
0,"Scappoose se yon vil nan eta [[Oregon]], nan [[Etazini]].",Scappoose se yon vil nan eta Oregon nan Etazini,9,12,75.51282051282051,2,12-2
9,"Hackensack se yon vil nan eta Minnesota, nan [[Etazini]].",Hackensack se yon vil nan eta Minnesota nan Etazini,9,12,75.51282051282051,2,12-2
7,"Clairton se yon vil nan eta Pennsilvani, nan [[Etazini]].",Clairton se yon vil nan eta Pennsilvani nan Etazini,9,12,75.51282051282051,2,12-2
11,Ekonomi lokal la baze sou kilti ak pwodiksyon [[legim]].,Ekonomi lokal la baze sou kilti ak pwodiksyon legim,9,12,75.51282051282051,5,12-5
12,"Lind se yon vil nan eta [[Washington]], nan [[Etazini]].",Lind se yon vil nan eta Washington nan Etazini,9,12,75.51282051282051,3,12-3
16,Li ekri senariyo pou sinema nan [[Almay]] ak [[Etazini]].,Li ekri senariyo pou sinema nan Almay ak Etazini,9,6,72.94334975369458,6,6-6
15,"Summerhill se yon vil nan eta Pennsilvani, nan [[Etazini]].",Summerhill se yon vil nan eta Pennsilvani nan Etazini,9,6,72.94334975369458,5,6-5
14,"Horton se yon vil nan eta [[Oregon]], nan [[Etazini]].",Horton se yon vil nan eta Oregon nan Etazini,9,6,72.94334975369458,9,6-9
13,"  Sibley se yon vil nan eta [[Dakota dinò]] , nan [[Etazini]].",Sibley se yon vil nan eta Dakota_dinò nan Etazini,9,6,72.94334975369458,4,6-4
12,"Mukwonago se yon vil nan eta Wisconsin, nan [[Etazini]].",Mukwonago se yon vil nan eta Wisconsin nan Etazini,9,6,72.94334975369458,7,6-7
11,"Forksville se yon vil nan eta Pennsilvani, nan [[Etazini]].",Forksville se yon vil nan eta Pennsilvani nan Etazini,9,6,72.94334975369458,5,6-5
10,"  Fairmount se yon vil nan eta [[Dakota dinò]] , nan [[Etazini]].",Fairmount se yon vil nan eta Dakota_dinò nan Etazini,9,6,72.94334975369458,4,6-4
9,"Clearmont se yon vil nan eta Wyoming, nan [[Etazini]].",Clearmont se yon vil nan eta Wyoming nan Etazini,9,6,72.94334975369458,3,6-3
8,  New Berlin se yon vil nan eta Nou yòk ([[New York]]) .,New Berlin se yon vil nan eta Nou yòk,9,6,72.94334975369458,3,6-3
7,"Frantz Matthieu, ki fèt [[23 desanm]] 1952, se yon foutbalè [[ayisyen]].",Frantz Matthieu ki fèt _desanm se yon foutbalè ayisyen,9,6,72.94334975369458,2,6-2
6,"Oakesdale se yon vil nan eta [[Washington]], nan [[Etazini]].",Oakesdale se yon vil nan eta Washington nan Etazini,9,6,72.94334975369458,1,6-1
5,"Monahans se yon vil nan eta Texas, nan [[Etazini]].",Monahans se yon vil nan eta Texas nan Etazini,9,6,72.94334975369458,0,6-0
4,"Enosburgh se yon vil nan eta Vermont, nan [[Etazini]].",Enosburgh se yon vil nan eta Vermont nan Etazini,9,6,72.94334975369458,3,6-3
3,"Nocona se yon vil nan eta Texas, nan [[Etazini]].",Nocona se yon vil nan eta Texas nan Etazini,9,6,72.94334975369458,0,6-0
2,"Garfield se yon vil nan eta [[Washington]], nan [[Etazini]].",Garfield se yon vil nan eta Washington nan Etazini,9,6,72.94334975369458,1,6-1
1,"Dodge se yon vil nan eta [[Dakota dinò]] , nan [[Etazini]].",Dodge se yon vil nan eta Dakota_dinò nan Etazini,9,6,72.94334975369458,4,6-4
0,"Dean se yon vil nan eta Texas, nan [[Etazini]].",Dean se yon vil nan eta Texas nan Etazini,9,6,72.94334975369458,0,6-0
19,"Tallmadge se yon vil nan eta Ohio , nan [[Etazini]].",Tallmadge se yon vil nan eta Ohio nan Etazini,9,6,72.94334975369458,3,6-3
20,"Lopezville se yon vil nan eta Texas, nan [[Etazini]].",Lopezville se yon vil nan eta Texas nan Etazini,9,6,72.94334975369458,0,6-0
18,"  Pepin se yon vil nan eta Wisconsin, nan [[Etazini]].",Pepin se yon vil nan eta Wisconsin nan Etazini,9,6,72.94334975369458,7,6-7
