,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
0,Se encuentra en una península sobre la orilla del [[lago Paranoá]].,Se encuentra en una península sobre la orilla del lago_Paranoá,10,18,58.666666666666664,0,18-0
2,"Utrecht (IPA: [ˈytrɛxt]) es un ciudad de [[Holanda]], con un populacion de 324.723 maga gente ([[2013]]).",Utrecht es un ciudad de Holanda con un populacion de maga gente,12,18,58.666666666666664,1,18-1
1,Obesidad es un problema na [[tierra]] en maga mucho pais.,Obesidad es un problema na tierra en maga mucho pais,10,18,58.666666666666664,1,18-1
2,"Un noche, el centinel estaba dormido na costao del moralla enfrente del [[mar]].",Un noche el centinel estaba dormido na costao del moralla enfrente del mar,13,0,48.0,1,0-1
1,"Alfred Roy Carey, fué un ingeniero de raza negra, nativo de [[Venezuela]].",Alfred Roy Carey fué un ingeniero de raza negra nativo de Venezuela,12,0,48.0,0,0-0
0,"Guairá es un departamento de [[Paraguay]], su capital es [[Villarrica]].",Guairá es un departamento de Paraguay su capital es Villarrica,10,0,48.0,0,0-0
0,Ana Moura es una cantante de [[fado]] de [[Portugal]].,Ana Moura es una cantante de fado de Portugal,9,5,43.6,0,5-0
2,"= Banderas nacionales y de territorios dependientes de [[ultramar]] = 匮 <hr noshade="""" tamaño=""2""/>",Banderas nacionales y de territorios dependientes de ultramar 匮 hr noshade tamaño,12,5,43.6,1,5-1
3,"[[Del]] mes de Julio año 2013, el suicidio en puente [[Mapo]], [[Seúl]].",Del mes de Julio año el suicidio en puente Mapo Seúl,11,5,43.6,0,5-0
4,Mexicanos-Americans son habitans de [[Estados Unidos de America]] con genes de [[México]].,MexicanosAmericans son habitans de Estados_Unidos_de_America con genes de México,9,5,43.6,2,5-2
1,"[[Anne Baxter]] (1923–1985) es ya actres de la America en pelicula, telebicion, y entablado.",Anne_Baxter es ya actres de la America en pelicula telebicion y entablado,12,5,43.6,0,5-0
7,"La Universidad Feira de Santana (portugués: ""Universidade Estadual de Feira de Santana"") ay una universidad fundada na [[1976]].",La Universidad Feira de Santana ay una universidad fundada na,10,38,43.473684210526315,2,38-2
