,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
1,Kaluga esa citii i' [[Rusha]] an center a' t' Kaluga Oblast.,Kaluga esa citii i Rusha an center a t Kaluga Oblast,11,15,58.0,1,15-1
0,Leten esa ekstiinkt [[laenghwij]] bin spoken i' Romaan Empaaye.,Leten esa ekstiinkt laenghwij bin spoken i Romaan Empaaye,9,15,58.0,0,15-0
3,"Ets mien spoken i' em North Urupean kuntriis, lik Swiiden an [[Finland]].",Ets mien spoken i em North Urupean kuntriis lik Swiiden an Finland,12,12,47.19047619047619,1,12-1
5,"Dem esa ailen kuntrii i' [[Pesifik Oshen]], miek ap from t' staits Yap, Chuuk, Poenpei an Kosrae.",Dem esa ailen kuntrii i Pesifik_Oshen miek ap from t staits Yap Chuuk Poenpei an Kosrae,16,12,47.19047619047619,2,12-2
6,"Estonya, [[Latwya]] a' [[Lithyuanya]] maik a' em Baawltik Staat.",Estonya Latwya a Lithyuanya maik a em Baawltik Staat,9,12,47.19047619047619,1,12-1
2,"T' [[kresmes]] i' [[Rusha]], Griese, [[Serbya]] an taedha ortodoksaal kuntriis es a' Jaenyuweri 7.",T kresmes i Rusha Griese Serbya an taedha ortodoksaal kuntriis es a Jaenyuweri,13,12,47.19047619047619,0,12-0
1,Dem Faaro Ailen s' chayn o' ailen i' t' [[Etlantic Oshen]].,Dem Faaro Ailen s chayn o ailen i t Etlantic_Oshen,10,12,47.19047619047619,1,12-1
0,A dor esa ting daa ken bin yuusen f' getten intuu a' [[bilding]].,A dor esa ting daa ken bin yuusen f getten intuu a bilding,13,12,47.19047619047619,1,12-1
4,Es t' kapitel citii a' t' stait a' [[Sowth Ostrielya]].,Es t kapitel citii a t stait a Sowth_Ostrielya,9,12,47.19047619047619,1,12-1
0,[[Pitkern]] (tuu Norfuk) es a' langgwidc daa es spokn i' Norfuk ailen tuu.,Pitkern es a langgwidc daa es spokn i Norfuk ailen tuu,11,4,44.666666666666664,0,4-0
2,"Haiti (ofishali Repablik a' Haiti) es t' kuntrii a' west haaf o' t' ailen [[Hispanyola]], i' [[North Merika]].",Haiti es t kuntrii a west haaf o t ailen Hispanyola i North Merika,14,4,44.666666666666664,0,4-0
1,"En ar sauthen hemisfiya 's miek ap a' [[Maach]], [[Ieprel]] an [[Mieh]].",En ar sauthen hemisfiya s miek ap a Maach Ieprel an Mieh,12,4,44.666666666666664,0,4-0
3,"Soel (, ""Kapitel Citii"", f' anshunt Sillan ""Seorabeol""), ofisholi t' Soel Special Citii, es t' kapitel an t' biges metropolis a' [[Sowth Koriya]].",Soel ofisholi t Soel Special Citii es t kapitel an t biges metropolis a Sowth_Koriya,15,4,44.666666666666664,1,4-1
8,"Dili () es t' kapitel, biges citii, chief port an commercial center a' [[Eist Tiimor]].",Dili es t kapitel biges citii chief port an commercial center a Eist_Tiimor,13,22,44.166666666666664,1,22-1
7,Baku esa t' kapitel an' t' biges [[citii]] a' [[Eserbeyjan]].,Baku esa t kapitel an t biges citii a Eserbeyjan,10,22,44.166666666666664,1,22-1
5,Tuu Lernn moor abowt thes goe tu [[Galileo Galilei]] ure goe tu Fisisists.,Tuu Lernn moor abowt thes goe tu Galileo_Galilei ure goe tu Fisisists,12,22,44.166666666666664,1,22-1
4,T' kuntrii bordas [[Endonesya]] i' t' west an es neya [[Ostrielya]] an [[Solamon Ailen]].,T kuntrii bordas Endonesya i t west an es neya Ostrielya an Solamon Ailen,14,22,44.166666666666664,1,22-1
3,Ankara es t' kapitel an a' biges citii o' [[Turkii]].,Ankara es t kapitel an a biges citii o Turkii,10,22,44.166666666666664,1,22-1
2,"I' [[Kreschen]] kulchur, i' es t' dieh Jesus came back t' life.",I Kreschen kulchur i es t dieh Jesus came back t life,12,22,44.166666666666664,1,22-1
1,"Lech Wałęsa (; born 29 Septemba 1943) esa [[Poelish]] politician, trade-union organizer, an human-rights activist.",Lech Wałęsa esa Poelish politician tradeunion organizer an humanrights activist,10,22,44.166666666666664,0,22-0
0,[[Norfuk Ailen]] setl'd iyas en iyas agoe b' dem salan from [[Nyuu Ziilan]] abaut 1300–1400 CE.,Norfuk_Ailen setld iyas en iyas agoe b dem salan from Nyuu Ziilan abaut CE,14,22,44.166666666666664,1,22-1
6,Tasmainya esa [[ailen]] stait i' t' sowth o' [[Ostrielya]]n [[kontenent]].,Tasmainya esa ailen stait i t sowth o Ostrielyan kontenent,10,22,44.166666666666664,1,22-1
6,Et es spoken mas i' [[Urup]] a' [[Asya]].,Et es spoken mas i Urup a Asya,8,23,44.142857142857146,2,23-2
5, <ns>0</ns>  <revision></revision>  <timestamp>2018-07-30T12:48:24Z</timestamp>  <contributor></contributor>  <username>Coconutic</username>    <comment>Coconutic moved page Cek to [[Dzhek]]</comment>  <model>wikitext</model>  <format>text/x-wiki</format>,nsns revisionrevision timestampTZtimestamp contributorcontributor usernameCoconuticusername commentCoconutic moved page Cek to Dzhekcomment modelwikitextmodel formattextxwikiformat,13,23,44.142857142857146,1,23-1
3,[[Patio]] es t' ofishol kapitel o' t' ailen.,Patio es t ofishol kapitel o t ailen,8,23,44.142857142857146,2,23-2
4,I' es t' sekan biges citii i' Sowth Afreka (aafta [[Johannesburg]]).,I es t sekan biges citii i Sowth Afreka,9,23,44.142857142857146,2,23-2
1,Plenti o' em sitiis an tauns silibreit [[Kresmes]] lorngf' putinap dekorayshuns.,Plenti o em sitiis an tauns silibreit Kresmes lorngf putinap dekorayshuns,11,23,44.142857142857146,2,23-2
0,Martinique esa [[French]] teritrii i' t' [[Etlantic Oshen]].,Martinique esa French teritrii i t Etlantic Oshen,8,23,44.142857142857146,2,23-2
2,"Plaants, which es tuu kauled griin plaants (Viridiplantae a' [[Leten]]), ar livin multisellular organisms a' t' kingdum Plantae.",Plaants which es tuu kauled griin plaants ar livin multisellular organisms a t kingdum Plantae,15,23,44.142857142857146,0,23-0
5,Ai Ra'iatea esa [[ailen]] i' t' [[Pesifik Oshen]].,Ai Raiatea esa ailen i t Pesifik Oshen,8,6,44.06666666666667,1,6-1
0,Madagascar esa ailen kuntrii i t'Indien Oshun ner [[Afreka]].,Madagascar esa ailen kuntrii i tIndien Oshun ner Afreka,9,6,44.06666666666667,1,6-1
4,T' Flag o' North Koriya esa a' ofishol symbol o' t' kuntrii o' [[North Koriya]].,T Flag o North Koriya esa a ofishol symbol o t kuntrii o North_Koriya,14,6,44.06666666666667,1,6-1
3,"[[Daarwin]] esa kapitel a' biges citii, [[Alis Springs]] a' Ten'nent Criik a' otha citii.",Daarwin esa kapitel a biges citii Alis Springs a Tennent Criik a otha citii,14,6,44.06666666666667,1,6-1
1,"Ets a' miks a' oel [[Inglish]] en [[Tahityan]] laenghwij, lorngf' Inglish miekn mor enfluens.",Ets a miks a oel Inglish en Tahityan laenghwij lorngf Inglish miekn mor enfluens,14,6,44.06666666666667,0,6-0
2,"Billii Aelish Paaerat Baiird O'Konl ([[Inglish]]: ""Billie Eilish Pirate Baird O'Connell"") (Desemba 18, 2001, Haeland Park) esa wun Merikan singaa an model.",Billii Aelish Paaerat Baiird OKonl esa wun Merikan singaa an model,11,6,44.06666666666667,1,6-1
6,"[[A]]' 2000, eight a' dem fortii [[Pitkerna]] a' t' tiem atend'd serwises a' t' kirk regyularlii.",A eight a dem fortii Pitkerna a t tiem atendd serwises a t kirk regyularlii,15,54,43.76190476190476,2,54-2
5," esa [[ailen]] kuntrii i' [[Pesifik Oshen]], i' eist Asya.",esa ailen kuntrii i Pesifik Oshen i eist Asya,9,54,43.76190476190476,1,54-1
0,"Hoss ulla Hors ([[Leten]]: ""Equus ferus caballus"") esa wun a' em domestik anamals.",Hoss ulla Hors esa wun a em domestik anamals,9,54,43.76190476190476,1,54-1
1,Alofi es t' ofishol kapitel a' t' Pesifik ailen kuntrii o' [[Niue]].,Alofi es t ofishol kapitel a t Pesifik ailen kuntrii o Niue,12,54,43.76190476190476,1,54-1
2,"Et es border'd b ' [[Sowth Afreka]] t' ets north, west an' sowth.",Et es borderd b Sowth_Afreka t ets north west an sowth,11,54,43.76190476190476,0,54-0
