,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
8,Jibuti i kaontri long [[Afrika]].,Jibuti i kaontri long Afrika,5,20,54.1764705882353,3,20-3
6,James Maitland Stewart (20 Mei 1908 – 2 Julae 1997) i akta blong [[Yunaeted Stet blong Amerika]].,James Maitland Stewart i akta blong Yunaeted_Stet_blong_Amerika,7,20,54.1764705882353,1,20-1
1,Kapital blong hem i [[Rome]].,Kapital blong hem i Rome,5,20,54.1764705882353,0,20-0
0,Liu Yifei (boen 1987) i akta blong [[Jaena]].,Liu Yifei i akta blong Jaena,6,20,54.1764705882353,2,20-2
7,Momoko Okui (boen 7 Maj 1968) i akta blong [[Japan]].,Momoko Okui i akta blong Japan,6,20,54.1764705882353,2,20-2
2,[[Mo]] mekem mane aot long hem.,Mo mekem mane aot long hem,6,20,54.1764705882353,0,20-0
3,Marco Antonio Rubio (boen 28 Mei 1971) i politikis blong [[Yunaeted Stet blong Amerika]].,Marco Antonio Rubio i politikis blong Yunaeted_Stet_blong_Amerika,7,20,54.1764705882353,1,20-1
4,"I long Netherlands, [[Jemani]], Luxembourg, [[Franis]].",I long Netherlands Jemani Luxembourg Franis,6,20,54.1764705882353,0,20-0
5,Demi Moore (boen 11 Novemba 1962 olsem Demetra Gene Guynes) em i akta blong [[Yunaeted Stet blong Amerika]].,Demi Moore em i akta blong Yunaeted_Stet_blong_Amerika,7,20,54.1764705882353,1,20-1
17,Ijip i kaontri long [[Afrika]].,Ijip i kaontri long Afrika,5,20,54.1764705882353,3,20-3
16,"Hoobastank, hem i miusik grup blong [[Yunaeted Stet blong Amerika]].",Hoobastank hem i miusik grup blong Yunaeted_Stet_blong_Amerika,7,20,54.1764705882353,1,20-1
15,Momoko Tanabe (boen 21 Ogis 1999) em i akta blong [[Japan]].,Momoko Tanabe em i akta blong Japan,7,20,54.1764705882353,2,20-2
14,Kazuo Hatoyama (1856 - 1911) i politikis blong [[Japan]].,Kazuo Hatoyama i politikis blong Japan,6,20,54.1764705882353,2,20-2
13,Yu ting se yu stap long [[solwota]].,Yu ting se yu stap long solwota,7,20,54.1764705882353,0,20-0
12,Takeo Fukuda (14 Januware 1905 – 5 Julae 1995) i praem minista blong [[Japan]].,Takeo Fukuda i praem minista blong Japan,7,20,54.1764705882353,2,20-2
11,Boise hem i kapital blong [[Idaho]].,Boise hem i kapital blong Idaho,6,20,54.1764705882353,0,20-0
10,William Shatner (boen 22 Maj 1931) em i akta blong [[Kanada]].,William Shatner em i akta blong Kanada,7,20,54.1764705882353,2,20-2
9,Sakura Andō (boen 18 Februari 1986) i akta blong [[Japan]].,Sakura Andō i akta blong Japan,6,20,54.1764705882353,2,20-2
